0,	2169,
1,	2193,
2,	2164,
3,	2193,
4,	2197,
5,	2188,
6,	2184,
7,	2162,
8,	2184,
9,	2185,
10,	2166,
11,	2181,
12,	2165,
13,	2160,
14,	2165,
15,	2157,
16,	2156,
17,	2172,
18,	2163,
19,	2169,
20,	2149,
21,	2161,
22,	2156,
23,	2162,
24,	2142,
25,	2159,
26,	2173,
27,	2158,
28,	2175,
29,	2168,
30,	2155,
31,	2148,
32,	2160,
33,	2148,
34,	2155,
35,	2156,
36,	2164,
37,	2155,
38,	2141,
39,	2137,
40,	2119,
41,	2122,
42,	2096,
43,	2058,
44,	2044,
45,	1989,
46,	1964,
47,	1925,
48,	1861,
49,	1807,
50,	1744,
51,	1693,
52,	1630,
53,	1562,
54,	1520,
55,	1463,
56,	1437,
57,	1377,
58,	1389,
59,	1318,
60,	1319,
61,	1282,
62,	1305,
63,	1281,
64,	1270,
65,	1258,
66,	1291,
67,	1264,
68,	1284,
69,	1277,
70,	1294,
71,	1294,
72,	1337,
73,	1337,
74,	1366,
75,	1397,
76,	1453,
77,	1483,
78,	1547,
79,	1564,
80,	1639,
81,	1686,
82,	1746,
83,	1802,
84,	1866,
85,	1876,
86,	1954,
87,	1949,
88,	2005,
89,	2010,
90,	2042,
91,	2042,
92,	2064,
93,	2049,
94,	2073,
95,	2029,
96,	2055,
97,	2044,
98,	2065,
99,	2049,
100,	2058,
101,	2024,
102,	2037,
103,	2019,
104,	2047,
105,	2010,
106,	2033,
107,	1992,
108,	2023,
109,	1981,
110,	2027,
111,	1987,
112,	2023,
113,	1974,
114,	2017,
115,	1977,
116,	2016,
117,	1968,
118,	2003,
119,	1956,
120,	2011,
121,	1950,
122,	2000,
123,	1959,
124,	2013,
125,	1949,
126,	2003,
