48.0,  28.444444444444443,  26.80952380952381,  25.35135135135135,  25.0,  25.185567010309278,  25.78102189781022,  25.54237288135593,  25.96,  26.542662116040955,  
47.0,  30.22222222222222,  29.19047619047619,  27.486486486486488,  26.492753623188406,  26.649484536082475,  26.503649635036496,  26.310734463276837,  26.52888888888889,  27.0580204778157,  
40.0,  30.22222222222222,  27.857142857142858,  28.37837837837838,  26.797101449275363,  26.309278350515463,  26.1021897810219,  26.112994350282484,  26.41777777777778,  27.10580204778157,  
49.0,  29.666666666666668,  27.857142857142858,  27.945945945945947,  26.92753623188406,  27.278350515463917,  27.138686131386862,  26.468926553672315,  26.764444444444443,  27.22866894197952,  
38.0,  33.0,  29.714285714285715,  27.972972972972972,  27.318840579710145,  27.298969072164947,  27.036496350364963,  26.706214689265536,  26.68,  27.098976109215016,  
50.0,  29.11111111111111,  29.571428571428573,  28.513513513513512,  28.91304347826087,  28.969072164948454,  28.364963503649633,  28.152542372881356,  27.897777777777776,  28.392491467576793,  
42.0,  27.77777777777778,  26.238095238095237,  26.18918918918919,  25.666666666666668,  26.288659793814432,  26.16058394160584,  26.35593220338983,  26.604444444444443,  27.22866894197952,  
37.0,  30.0,  28.095238095238095,  27.2972972972973,  27.246376811594203,  27.412371134020617,  27.343065693430656,  27.26553672316384,  27.315555555555555,  27.754266211604097,  
48.0,  28.77777777777778,  27.761904761904763,  27.783783783783782,  27.057971014492754,  27.309278350515463,  26.83941605839416,  26.615819209039547,  26.764444444444443,  27.450511945392492,  
37.0,  32.666666666666664,  30.142857142857142,  29.027027027027028,  27.840579710144926,  27.701030927835053,  27.26277372262774,  27.084745762711865,  27.066666666666666,  27.59726962457338,  
40.0,  30.22222222222222,  28.904761904761905,  28.62162162162162,  27.434782608695652,  27.195876288659793,  27.124087591240876,  27.050847457627118,  26.88,  27.191126279863482,  
38.0,  28.666666666666668,  28.238095238095237,  27.513513513513512,  25.44927536231884,  25.61855670103093,  26.05109489051095,  26.050847457627118,  26.57777777777778,  27.139931740614333,  
34.0,  31.11111111111111,  30.666666666666668,  29.7027027027027,  27.92753623188406,  27.329896907216494,  27.014598540145986,  26.858757062146893,  26.67111111111111,  27.1740614334471,  
41.0,  31.0,  28.61904761904762,  28.37837837837838,  28.014492753623188,  27.876288659793815,  27.153284671532848,  27.203389830508474,  27.44,  27.621160409556314,  
36.0,  32.44444444444444,  29.80952380952381,  28.2972972972973,  26.391304347826086,  26.371134020618555,  26.313868613138688,  26.01129943502825,  26.04888888888889,  26.757679180887372,  
41.0,  30.77777777777778,  29.38095238095238,  30.08108108108108,  28.71014492753623,  28.463917525773194,  27.67153284671533,  27.43502824858757,  27.235555555555557,  27.764505119453926,  
